year,soc_name,soc,sex_name,sex,age,num_ppl,num_ppl_moe
2016,"Computer programmers","151131","Male","1",69,659,179.463
2016,"Computer programmers","151131","Female","2",69,267,127.305
2016,"Computer programmers","151131","Male","1",70,818,270.973
2016,"Computer programmers","151131","Female","2",70,123,74.5622
2016,"Computer programmers","151131","Male","1",71,344,124.541
2016,"Computer programmers","151131","Female","2",71,112,79.8842
2016,"Computer programmers","151131","Male","1",72,367,159.86
2016,"Computer programmers","151131","Female","2",72,34,41.4527
2016,"Computer programmers","151131","Male","1",73,265,131.873
2016,"Computer programmers","151131","Female","2",73,49,51.4086
2016,"Computer programmers","151131","Male","1",74,144,148.807
2016,"Computer programmers","151131","Female","2",74,51,71.9356
2016,"Computer programmers","151131","Male","1",75,93,59.4344
2016,"Computer programmers","151131","Female","2",75,13,21.5646
2016,"Computer programmers","151131","Male","1",76,152,82.026
2016,"Computer programmers","151131","Male","1",77,57,50.5406
2016,"Computer programmers","151131","Female","2",77,30,33.9145
2016,"Computer programmers","151131","Male","1",78,14,18.3032
2016,"Computer programmers","151131","Female","2",78,5,9.725
2016,"Computer programmers","151131","Male","1",79,54,56.5411
2016,"Computer programmers","151131","Female","2",79,23,27.5973
2016,"Computer programmers","151131","Male","1",80,13,20.7785
2016,"Computer programmers","151131","Male","1",81,14,24.2184
2016,"Computer programmers","151131","Female","2",81,15,24.9314
2016,"Computer programmers","151131","Male","1",82,16,31.3458
2016,"Computer programmers","151131","Female","2",82,16,27.0251
2016,"Computer programmers","151131","Male","1",83,32,31.9211
2016,"Computer programmers","151131","Male","1",84,14,21.0887
2016,"Computer programmers","151131","Male","1",85,23,27.361
2016,"Computer programmers","151131","Female","2",87,10,17.7057
2016,"Computer programmers","151131","Male","1",93,24,42.3568
2016,"Computer programmers","151131","Female","2",93,15,24.0558
2016,"Computer programmers","151131","Female","2",94,15,25.1071
