year,geo_name,geo,soc_name,soc,avg_wage,avg_wage_moe
2014,"Watsonville & Scotts Valley Cities PUMA, CA","79500US0608701","Computer programmers","151131",123335.0,35386.1
2014,"Santa Cruz County (South & Coastal)--Santa Cruz City PUMA","79500US0608702","Computer programmers","151131",87737.1,35984.2
2014,"Redding City PUMA, CA","79500US0608900","Computer programmers","151131",91806.5,64697.0
2014,"Vallejo & Benicia Cities PUMA, CA","79500US0609501","Computer programmers","151131",86860.6,27465.0
2014,"Solano County (Northeast)--Vacaville & Dixon Cities PUMA","79500US0609503","Computer programmers","151131",97644.8,33070.8
2014,"Windsor Town, Healdsburg & Sonoma Cities PUMA, CA","79500US0609701","Computer programmers","151131",82209.0,16026.6
2014,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA","79500US0609702","Computer programmers","151131",79857.2,22458.4
2014,"Santa Rosa City PUMA, CA","79500US0609703","Computer programmers","151131",81755.2,33722.9
2014,"Turlock, Riverbank, Oakdale & Waterford Cities PUMA, CA","79500US0609903","Computer programmers","151131",61271.0,46357.6
2014,"Stanislaus County (Central)--Modesto City (East) PUMA","79500US0609904","Computer programmers","151131",76651.0,17161.5
